source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
75,67,detail,9 de Julio Nº 35,,129,13,manz+parc,2,0100010000000129--013--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29188,0100010000000129--013--,0100010000000129--013--,matches_source_ncp,0,0,129,13,-58.14079604,-32.22227013,-58.14079604,-32.22227013,automatic,,,yes,yes,yes,"9 de Julio 35, Colón",matched_ign,"9 DE JULIO 35, Colón, Entre Ríos",-58.14097097,-32.22239799,21.75,21.75,verified_close,verified_close
76,68,detail,Vergniaud Nº e/ Avda Paysandù y Rocamora,62,465,17,gru+manz+parc,3,,ambiguous_source_components,gru_parc,3,low,ambiguous_match_by_gru_parc,32536,0100011010620434--017--,0100011010620434--017--,matches_source_ncp,101,62,434,17,-58.15611220,-32.22442754,-58.15611220,-32.22442754,automatic,,,yes,yes,no,"Vergniaud e/ Avenida Paysandù y Rocamora, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
78,70,detail,José Brovatti Nº,291,,12,gru+parc,2,0100010112910000--012--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,33409,0100010112910000--012--,0100010112910000--012--,matches_source_ncp,11,291,0,12,-58.17718128,-32.23165497,-58.17718128,-32.23165497,automatic,,,yes,yes,no,"José Brovatti, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
79,70,detail_continuation,,,,11,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
80,71,detail,Noailles Nº 1096 esq Rebord,42,396,15,gru+manz+parc,3,0100011020420396--015--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,32750,0100011020420396--015--,0100011020420396--015--,matches_source_ncp,102,42,396,15,-58.15000111,-32.23296372,-58.15000111,-32.23296372,automatic,,,yes,yes,yes,"Noailles 1096, Colón",matched_ign,"GRL NOAILLES 1096, Colón, Entre Ríos",-58.15019782,-32.23288255,20.59,20.59,verified_close,verified_close
81,72,detail,Sourigues Nº 486,,651,2,manz+parc,2,0100010000000651--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31111,0100010000000651--002--,0100010000000651--002--,matches_source_ncp,0,0,651,2,-58.14858671,-32.21656565,-58.14858671,-32.21656565,automatic,,,yes,yes,yes,"Sourigues 486, Colón",matched_ign,"SOURIGUES 486, Colón, Entre Ríos",-58.14840579,-32.21641629,23.78,23.78,verified_close,verified_close
82,73,detail,"L. N. Alem N° 234, 238 y 244 (antes 240)",,167,8,manz+parc,2,0100010000000167--008--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28538,0100010000000167--008--,0100010000000167--008--,matches_source_ncp,0,0,167,8,-58.13477569,-32.22385405,-58.13477569,-32.22385405,automatic,,,yes,yes,yes,"Alem 234, Colón",matched_ign,"ALEM 234, Colón, Entre Ríos",-58.13501707,-32.22404505,31.09,31.09,verified_close,verified_close
83,74,detail,"Piamonte Nº 332, 334",,350,1,manz+parc,2,0100010000000350--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27703,0100010000000350--001--,0100010000000350--001--,matches_source_ncp,0,0,350,1,-58.15797354,-32.22745663,-58.15797354,-32.22745663,automatic,,,yes,yes,yes,"Piamonte 332, Colón",matched_ign,"PIAMONTE 332, Colón, Entre Ríos",-58.15763662,-32.22699749,60.09,60.09,verified_nearby,verified_nearby
84,75,detail,Sarmiento Nº 06,,157,6,manz+parc,2,0100010000000157--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29674,0100010000000157--006--,0100010000000157--006--,matches_source_ncp,0,0,157,6,-58.13830088,-32.22092871,-58.13830088,-32.22092871,automatic,,,yes,yes,yes,"Sarmiento 06, Colón",matched_ign,"SARMIENTO 6, Colón, Entre Ríos",-58.13801947,-32.22102921,28.73,28.73,verified_close,verified_close
85,76,detail,Rufino Mir Nº 265,41,394,6,gru+manz+parc,3,0100011020410394--006--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35818,0100011020410394--006--,0100011020410394--006--,matches_source_ncp,102,41,394,6,-58.14802119,-32.23416760,-58.14802119,-32.23416760,automatic,,,yes,yes,no,"Rufino Mir 265, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
86,77,detail,12 de Abril Nº 720,,35,13,manz+parc,2,0100010000000035--013--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27768,0100010000000035--013--,0100010000000035--013--,matches_source_ncp,0,0,35,13,-58.14533222,-32.22659705,-58.14533222,-32.22659705,automatic,,,yes,yes,yes,"12 de Abril 720, Colón",matched_ign,"12 DE ABRIL 720, Colón, Entre Ríos",-58.14542955,-32.22646889,16.94,16.94,verified_close,verified_close
87,78,detail,Bvard Gûemes Nº 331,,82,2,manz+parc,2,0100010000000082--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,26663,0100010000000082--002--,0100010000000082--002--,matches_source_ncp,0,0,82,2,-58.13869888,-32.22904163,-58.13869888,-32.22904163,automatic,,,yes,yes,yes,"Güemes 331, Colón",matched_ign,"AV MARTIN M DE GUEMES 331, Colón, Entre Ríos",-58.13854396,-32.22892221,19.71,19.71,verified_close,verified_close
88,79,detail,Alvear Nº 522,,598,2,manz+parc,2,0100010000000598--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30890,0100010000000598--002--,0100010000000598--002--,matches_source_ncp,0,0,598,2,-58.15124161,-32.21750591,-58.15124161,-32.21750591,automatic,,,yes,yes,yes,"Alvear 522, Colón",matched_ign,"GRL ALVEAR 522, Colón, Entre Ríos",-58.15098961,-32.21738886,27.04,27.04,verified_close,verified_close
89,80,detail,Sarmiento Nº 27,,172,12,manz+parc,2,0100010000000172--012--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29848,0100010000000172--012--,0100010000000172--012--,matches_source_ncp,0,0,172,12,-58.13817309,-32.22050699,-58.13817309,-32.22050699,automatic,,,yes,yes,yes,"Sarmiento 27, Colón",matched_ign,"SARMIENTO 27, Colón, Entre Ríos",-58.13831830,-32.22071017,26.40,26.40,verified_close,verified_close
90,81,detail,J. J. Paso Nº 204 esq. Reibel,,217,6,manz+parc,2,0100010000000217--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29395,0100010000000217--006--,0100010000000217--006--,matches_source_ncp,0,0,217,6,-58.13267605,-32.22166651,-58.13267605,-32.22166651,automatic,,,yes,yes,yes,"Juan José Paso 204, Colón",matched_ign,"JUAN JOSE PASO 204, Colón, Entre Ríos",-58.13286236,-32.22174266,19.47,19.47,verified_close,verified_close
91,82,detail,Calle Pública s/Nº,355,15,4,gru+manz+parc,3,0100010063550015--004--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,34516,0100010063550015--004--,0100010063550015--004--,matches_source_ncp,6,355,15,4,-58.15913952,-32.20621831,-58.15913952,-32.20621831,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
92,83,detail,Avda. Urquiza Nº 230,,170,10,manz+parc,2,0100010000000170--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29483,0100010000000170--010--,0100010000000170--010--,matches_source_ncp,0,0,170,10,-58.13695745,-32.22143732,-58.13695745,-32.22143732,automatic,,,yes,yes,yes,"Urquiza 230, Colón",matched_ign,"GRL URQUIZA 230, Colón, Entre Ríos",-58.13712874,-32.22133013,20.04,20.04,verified_close,verified_close
94,85,detail,Calle Pública s/Nº,223,8,29,gru+manz+parc,3,0100010162230008--029--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37220,0100010162230008--029--,0100010162230008--029--,matches_source_ncp,16,223,8,29,-58.18130476,-32.25668963,-58.18130476,-32.25668963,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
95,86,detail,Calle Pública s/Nº,160,,20,gru+parc,2,0100010101600000--020--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,36612,0100010101600000--020--,0100010101600000--020--,matches_source_ncp,10,160,0,20,-58.20246042,-32.25102687,-58.20246042,-32.25102687,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
96,87,detail,Avda. Pte. Perón Nº 458,,615,6,manz+parc,2,0100010000000615--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30774,0100010000000615--006--,0100010000000615--006--,matches_source_ncp,0,0,615,6,-58.14969609,-32.21792526,-58.14969609,-32.21792526,automatic,,,yes,yes,yes,"Avenida Presidente Perón 458, Colón",matched_ign,"AV PRES PERON 458, Colón, Entre Ríos",-58.14947443,-32.21795722,21.15,21.15,verified_close,verified_close
97,88,detail,"Sarmiento Nº 71 , 73",,173,14,manz+parc,2,0100010000000173--014--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30073,0100010000000173--014--,0100010000000173--014--,matches_source_ncp,0,0,173,14,-58.13879287,-32.21988133,-58.13879287,-32.21988133,automatic,,,yes,yes,yes,"Sarmiento 71, Colón",matched_ign,"SARMIENTO 71, Colón, Entre Ríos",-58.13893827,-32.22006115,24.23,24.23,verified_close,verified_close
98,89,detail,"Calle Fresno s/Nº - ""Ayres del 1872""",247,5,5,gru+manz+parc,3,0100010112470005--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37475,0100010112470005--005--,0100010112470005--005--,matches_source_ncp,11,247,5,5,-58.18250103,-32.24572486,-58.18250103,-32.24572486,automatic,,,yes,yes,no,"Calle Fresno º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
99,90,detail,Avda. Paysandú Nº 274,,731,20,manz+parc,2,0100010000000731--020--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31411,0100010000000731--020--,0100010000000731--020--,matches_source_ncp,0,0,731,20,-58.14469035,-32.21496667,-58.14469035,-32.21496667,automatic,,,yes,yes,yes,"Avenida Paysandú 274, Colón",matched_ign,"AV PAYSANDU 274, Colón, Entre Ríos",-58.14482753,-32.21480370,22.25,22.25,verified_close,verified_close
