prioridad,source_row_number,legajo_canonico,ubicacion,match_method,match_count,confidence,location_verification_status,address_geocode_status,reason
alta,124,120,Avda Urquiza N° 1174 y 1180,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,126,123,Lima N° 191 esq Lavalle N°,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,130,125,"12 de Abril Nº 848, 840, al 846",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,132,127,Balcarce N° 482 - 486,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,134,130,San Martín N° 859 - 861,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,135,131,3 de Febrero N° 70,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,137,133,Las Piedras N°  336,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,138,137,San Martín N° 472,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,139,134,Avda Paysandú esq 3 de Febrero N°,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,141,136,Monteagudo N° 114,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,145,141,Hernández N° 363,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,146,142,M. M. Lima N° 226,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,147,144,Combatientes de Malvinas N°  182 (ANTES 178),none,0,low,verified_close,matched_ign,no_cadastral_match
alta,149,145,"Avda Urquiza N° 662, 664",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,150,147,Avda Urquiza N° 313,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,153,149,Mitre s/Nº 325,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,155,151,"San Martín N° 1212, 1220",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,156,152,Bolívar esq Sourigues N° 443,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,157,153,M. Moreno N° 164,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,158,154,"Reibel N° 223, 225",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,159,155,Las Piedras N° 341,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,164,160,Avda. Paysandú N° 1156,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,165,161,Avda Paysandú N° 274,none,0,low,verified_close,matched_ign,no_cadastral_match
