prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
alta,geolocalizacion,115,111,"mail, 554513",Sarmiento N°  366,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,116,112,"mail, 554551",Bvard. Ferrari N.º 1389,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,117,113,"MAIL, 553480",Artigas N° 173,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,118,114,"MAIL, 533743",Reibel N° 248,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,119,115,554258,Bolívar N° 790,ambiguous_match_by_gru_parc,match_no_unico|baja_confianza|distancia_para_revision
alta,geolocalizacion,122,119,554509,Lavalle N° 486,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,123,118,554762,Balcarce N° 174,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,124,120,"MAIL, 554853",Avda Urquiza N° 1174 y 1180,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,126,123,554612,Lima N° 191 esq Lavalle N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,129,126,"mail, 555094",Avda.Pte. Perón N° 296,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,130,125,"mail, 554999","12 de Abril Nº 848, 840, al 846",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,131,128,"mail, 555051",M. Moreno N° 431,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,132,127,554614,Balcarce N° 482 - 486,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,134,130,555109,San Martín N° 859 - 861,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,135,131,"mail, 554794",3 de Febrero N° 70,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,137,133,554510,Las Piedras N°  336,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,138,137,"mail, 554006",San Martín N° 472,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,139,134,"mail, 555399",Avda Paysandú esq 3 de Febrero N°,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,141,136,"mail, 555421",Monteagudo N° 114,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,145,141,555438,Hernández N° 363,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,146,142,"mail, 555746",M. M. Lima N° 226,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,147,144,"mail, 555752",Combatientes de Malvinas N°  182 (ANTES 178),no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,149,145,"mail, 555957","Avda Urquiza N° 662, 664",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,150,147,556092,Avda Urquiza N° 313,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,153,149,mail,Mitre s/Nº 325,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,155,151,555557,"San Martín N° 1212, 1220",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,156,152,556463,Bolívar esq Sourigues N° 443,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,157,153,555745,M. Moreno N° 164,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,158,154,555570,"Reibel N° 223, 225",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,159,155,554681,Las Piedras N° 341,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,164,160,557028,Avda. Paysandú N° 1156,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,165,161,552299,Avda Paysandú N° 274,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,167,163,552490,Bernard N° 671,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,169,165,557422,Avda. Urquiza N° 769,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,170,166,"mail, 557568",Primera Junta N° 93 esq Bolivar,ambiguous_match_by_gru_parc,match_no_unico|baja_confianza|distancia_para_revision
alta,geolocalizacion,171,167,556746,Piamonte N° 650,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,172,168,557688,12 de Abril  N° 1186,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,173,169,556066,Maipú N° 74,unique_match_by_gru_parc,distancia_para_revision
