source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
191,184,Calle Las Moras s/Nº,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
192,184,Bvard. Güemes N° 252,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
193,185,"Bvard. Güemes N° 252, esq. Tucumán",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
194,186,Tucumán y Leguizamón Nº 244,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
195,187,Calle Privada s/Nº - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
196,188,L. N. Alem Nº 17 esq.12 de Abril,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
198,189,Castelli N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
199,190,Paso de los Andes N°2170,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
200,192,Belgrano N° 582,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
201,191,Avda Paysandú N° 262 - 268,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
202,191,,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
205,196,3 de Febrero Nº 606,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
206,195,Bvard Ferrari Nº 1183,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
207,197,Chacabuco Nº 292,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
208,198,"9 de Julio Nº 302, 304, 306, 308, 310, 312 y 314 y Paso de los Andes",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
