source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
168,155,detail,Balcarce N° 552,,713,7,manz+parc,2,0100010000000713--007--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31563,0100010000000713--007--,0100010000000713--007--,matches_source_ncp,0,0,713,7,-58.14714891,-32.21371868,-58.14714891,-32.21371868,automatic,,,yes,yes,yes,"Balcarce 552, Colón",matched_ign,"BALCARCE 552, Colón, Entre Ríos",-58.14677459,-32.21363748,36.35,36.35,verified_close,verified_close
169,162,detail,Avda Los Lapachos - Los Bretes,3,2,24,gru+manz+parc,3,0100010170030002--024--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37153,0100010170030002--024--,0100010170030002--024--,matches_source_ncp,17,3,2,24,-58.13473860,-32.24429507,-58.13473860,-32.24429507,automatic,,,yes,yes,no,"Avenida Los Lapachos, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
170,175,detail,Karai Yamandú s/N°,310,2,30,gru+manz+parc,3,0100010113100002--030--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36756,0100010113100002--030--,0100010113100002--030--,matches_source_ncp,11,310,2,30,-58.16851904,-32.22850770,-58.16851904,-32.22850770,automatic,,,yes,yes,no,"Karai Yamandú °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
171,160,detail,Calle Pública s/N°,327,5,9,gru+manz+parc,3,0100010123270005--009--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37190,0100010123270005--009--,0100010123270005--009--,matches_source_ncp,12,327,5,9,-58.16313473,-32.23108252,-58.16313473,-32.23108252,automatic,,,yes,yes,no,"Calle Pública °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
172,165,detail,Calle Primeros Colonos s/N°,331,,27,gru+parc,2,0100010063310000--027--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,37167,0100010063310000--027--,0100010063310000--027--,matches_source_ncp,6,331,0,27,-58.17289896,-32.20949801,-58.17289896,-32.20949801,automatic,,,yes,yes,no,"Calle Primeros Colonos °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
173,172,detail,"Ruta N° 135, km ..",204,,6,gru+parc,2,0100010102040000--006--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,25050,0100010102040000--006--,0100010102040000--006--,matches_source_ncp,10,204,0,6,-58.19503421,-32.24536888,-58.19503421,-32.24536888,automatic,,,yes,yes,no,"Ruta 135, km ., Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
174,180,detail,Calle Privada s/N° - Los Bretes,,,24,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Calle Privada °, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
175,167,detail,Bolìvar Nº 220,,173,19,manz+parc,2,0100010000000173--019--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30249,0100010000000173--019--,0100010000000173--019--,matches_source_ncp,0,0,173,19,-58.13867828,-32.21945160,-58.13867828,-32.21945160,automatic,,,yes,yes,yes,"Bolìvar 220, Colón",matched_ign,"BOLIVAR 220, Colón, Entre Ríos",-58.13884686,-32.21925054,27.41,27.41,verified_close,verified_close
176,168,detail,Avda. Los Lapachos s/N° - Los Bretes,3,4,25,gru+manz+parc,3,0100010170030004--025--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35639,0100010170030004--025--,0100010170030004--025--,matches_source_ncp,17,3,4,25,-58.13440528,-32.24474004,-58.13440528,-32.24474004,automatic,,,yes,yes,no,"Avenida Los Lapachos °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
177,174,detail,Avda. Quiros esq M. Moreno,,224,3,manz+parc,2,0100010000000224--003--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30328,0100010000000224--003--,0100010000000224--003--,matches_source_ncp,0,0,224,3,-58.13308543,-32.21908261,-58.13308543,-32.21908261,automatic,,,yes,yes,no,"Avenida Quiros esq Mariano Moreno, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
178,169,detail,Vergniaud Nº e/ San Martín y 12 de Abril,,427,2,manz+parc,2,0100010000000427--002--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,26617,0100010000000427--002--,0100010000000427--002--,matches_source_ncp,0,0,427,2,-58.15096292,-32.22954325,-58.15096292,-32.22954325,automatic,,,yes,yes,yes,"Abril 12, Colón",matched_ign,"12 DE ABRIL 12, Colón, Entre Ríos",-58.13385611,-32.21815909,2047.42,2047.42,review_large_gap,review_large_gap
179,171,detail,Tucumán N° esq Güemes N° 251,,81,17,manz+parc,2,0100010000000081--017--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,36915,0100010000000081--017--,0100010000000081--017--,matches_source_ncp,0,0,81,17,-58.13975800,-32.22792447,-58.13975800,-32.22792447,automatic,,,yes,yes,yes,"Tucumán 251, Colón",matched_ign,"TUCUMAN 251, Colón, Entre Ríos",-58.13479200,-32.22427276,618.94,618.94,review_large_gap,review_large_gap
180,170,detail,Araujo Penón N° 02,,349,8,manz+parc,2,0100010000000349--008--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,32140,0100010000000349--008--,0100010000000349--008--,matches_source_ncp,0,0,349,8,-58.15741668,-32.22834711,-58.15741668,-32.22834711,automatic,,,yes,yes,yes,"Araujo Penón 02, Colón",matched_ign,"ARAUJO PENON 2, Colón, Entre Ríos",-58.15376013,-32.23236732,564.03,564.03,review_large_gap,review_large_gap
181,178,detail,Dr. Favaloro Nº 392,,682,9,manz+parc,2,0100010000000682--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,25881,0100010000000682--009--,0100010000000682--009--,matches_source_ncp,0,0,682,9,-58.13184479,-32.23123323,-58.13184479,-32.23123323,automatic,,,yes,yes,no,"Dr. Favaloro 392, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
182,211,detail,Cipriano Berìn Nº,,503,12,manz+parc,2,0100010000000503--012--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,26213,0100010000000503--012--,0100010000000503--012--,matches_source_ncp,0,0,503,12,-58.14642019,-32.23048075,-58.14642019,-32.23048075,automatic,,,yes,yes,no,"Cipriano Berìn, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
183,212,detail,Karai Yamandú s/N°,310,2,21,gru+manz+parc,3,0100010113100002--021--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36189,0100010113100002--021--,0100010113100002--021--,matches_source_ncp,11,310,2,21,-58.16701291,-32.22793627,-58.16701291,-32.22793627,automatic,,,yes,yes,no,"Karai Yamandú °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
184,213,detail,Calle Chajá s/N° esq. Calle Pública,225,3,12,gru+manz+parc,3,0100010112250003--012--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37199,0100010112250003--012--,0100010112250003--012--,matches_source_ncp,11,225,3,12,-58.18757104,-32.24834198,-58.18757104,-32.24834198,automatic,,,yes,yes,no,"Calle Chajá ° esq. Calle Pública, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
185,173,detail,Santa Cruz N° 195,,430,36,manz+parc,2,0100010000000430--036--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27442,0100010000000430--036--,0100010000000430--036--,matches_source_ncp,0,0,430,36,-58.15375456,-32.22763432,-58.15375456,-32.22763432,automatic,,,yes,yes,yes,"Santa Cruz 195, Colón",matched_ign,"SANTA CRUZ 195, Colón, Entre Ríos",-58.15391649,-32.22772268,18.13,18.13,verified_close,verified_close
186,179,detail,Calle Publica s/N°,203,,13,gru+parc,2,0100010102030000--013--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,35872,0100010102030000--013--,0100010102030000--013--,matches_source_ncp,10,203,0,13,-58.19179784,-32.24646376,-58.19179784,-32.24646376,automatic,,,yes,yes,no,"Calle Publica °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
187,183,detail,Calle Progreso s/Nº,310,2,19,gru+manz+parc,3,0100010113100002--019--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36167,0100010113100002--019--,0100010113100002--019--,matches_source_ncp,11,310,2,19,-58.16743738,-32.22926811,-58.16743738,-32.22926811,automatic,,,yes,yes,no,"Calle Progreso º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
188,177,detail,Bernard Nº 490,,645,11,manz+parc,2,0100010000000645--011--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,25974,0100010000000645--011--,0100010000000645--011--,matches_source_ncp,0,0,645,11,-58.13502019,-32.23098372,-58.13502019,-32.23098372,automatic,,,yes,yes,yes,"Bernard 490, Colón",matched_ign,"J BERNARD 490, Colón, Entre Ríos",-58.13519969,-32.23086060,21.74,21.74,verified_close,verified_close
189,187,detail,Pte. Perón N° 33,,88,6,manz+parc,2,0100010000000088--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28513,0100010000000088--006--,0100010000000088--006--,matches_source_ncp,0,0,88,6,-58.14310335,-32.22394089,-58.14310335,-32.22394089,automatic,,,yes,yes,yes,"Presidente Perón 33, Colón",matched_ign,"AV PRES PERON 33, Colón, Entre Ríos",-58.14330092,-32.22412901,27.98,27.98,verified_close,verified_close
190,176,detail,Combatientes de Malvinas Nº 435,,672,1,manz+parc,2,0100010000000672--001--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,33439,0100010000000672--001--,0100010000000672--001--,matches_source_ncp,0,0,672,1,-58.14921109,-32.21402036,-58.14921109,-32.21402036,automatic,,,yes,yes,yes,"Combatientes de Malvinas 435, Colón",matched_ign,"COMBATIENTES DE MALVINAS 435, Colón, Entre Ríos",-58.14906942,-32.21530871,143.88,143.88,verified_nearby,verified_nearby
